timestamp,temperature_c,ghi_wm2,wind_speed_mps,cloud_cover_pct
2025-06-22 00:00,12.3,0,3.7,15
2025-06-22 01:00,12.0,0,3.9,15
2025-06-22 02:00,12.3,0,4.1,15
2025-06-22 03:00,13.1,0,4.2,15
2025-06-22 04:00,14.3,0,4.2,15
2025-06-22 05:00,16.0,0,4.2,15
2025-06-22 06:00,17.9,0,4.1,16
2025-06-22 07:00,20.0,186,3.9,17
2025-06-22 08:00,22.1,358,3.7,19
2025-06-22 09:00,24.0,501,3.5,22
2025-06-22 10:00,25.7,602,3.2,28
2025-06-22 11:00,26.9,656,2.9,35
2025-06-22 12:00,27.7,666,2.7,42
2025-06-22 13:00,28.0,642,2.5,48
2025-06-22 14:00,27.7,596,2.3,50
2025-06-22 15:00,26.9,532,2.2,48
2025-06-22 16:00,25.7,445,2.2,42
2025-06-22 17:00,24.0,326,2.2,35
2025-06-22 18:00,22.1,175,2.3,28
2025-06-22 19:00,20.0,0,2.5,22
2025-06-22 20:00,17.9,0,2.7,19
2025-06-22 21:00,16.0,0,2.9,17
2025-06-22 22:00,14.3,0,3.2,16
2025-06-22 23:00,13.1,0,3.5,15
